concrete,SD,0,238.9807004928589,2.3257954120635986
concrete,SD,0.05,238.9807004928589,2.1083593368530273
concrete,CN2-SD,0,338.880496263504,66.95789241790771
concrete,CN2-SD,0.05,338.880496263504,4.108989953994751
concrete,SD4TS,0,17.196998357772827,14.731611490249634
concrete,SD4TS,0.05,17.196998357772827,3.6691842079162598
treasury,SD,0,652.7200090885162,1.864999771118164
treasury,SD,0.05,652.7200090885162,1.8400778770446777
treasury,CN2-SD,0,487.637558221817,35.87006640434265
treasury,CN2-SD,0.05,487.637558221817,16.498865365982056
treasury,SD4TS,0,131.5521001815796,6.31113338470459
treasury,SD4TS,0.05,131.5521001815796,4.68445086479187
